#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Valeur de R (Ohm) : 
#Valeur de L (Henry) : 
#Valeur de C (Farad) : 
#Temps   Entree   Sortie-Solution   Sinus(sol exact)   
1.86   5   1.812   0.9585
1.87   5   1.836   0.9556
1.88   5   1.859   0.9526
1.89   5   1.883   0.9495
1.9   5   1.906   0.9463
1.91   5   1.93   0.943
1.92   5   1.954   0.9396
1.93   5   1.978   0.9362
1.94   5   2.002   0.9326
1.95   5   2.026   0.929
1.96   5   2.05   0.9252
1.97   5   2.074   0.9214
1.98   5   2.098   0.9174
1.99   5   2.122   0.9134
2   5   2.146   0.9093
2.01   5   2.171   0.9051
2.02   5   2.195   0.9008
2.03   5   2.219   0.8964
2.04   5   2.244   0.8919
2.05   5   2.268   0.8874
2.06   5   2.293   0.8827
2.07   5   2.317   0.878
2.08   5   2.342   0.8731
2.09   5   2.366   0.8682
2.1   5   2.391   0.8632
2.11   5   2.416   0.8581
2.12   5   2.44   0.8529
2.13   5   2.465   0.8477
2.14   5   2.489   0.8423
2.15   5   2.514   0.8369
2.16   5   2.539   0.8314
2.17   5   2.563   0.8258
2.18   5   2.588   0.8201
2.19   5   2.613   0.8143
2.2   5   2.637   0.8085
2.21   0   2.662   0.8026
2.22   0   2.687   0.7966
2.23   0   2.711   0.7905
2.24   0   2.734   0.7843
2.25   0   2.757   0.7781
2.26   0   2.78   0.7718
2.27   0   2.802   0.7654
2.28   0   2.824   0.7589
2.29   0   2.845   0.7523
2.3   0   2.865   0.7457
2.31   0   2.885   0.739
2.32   0   2.905   0.7322
2.33   0   2.924   0.7254
2.34   0   2.943   0.7185
2.35   0   2.961   0.7115
2.36   0   2.979   0.7044
2.37   0   2.996   0.6973
2.38   0   3.013   0.6901
2.39   0   3.029   0.6828
2.4   0   3.045   0.6755
2.41   0   3.06   0.6681
2.42   0   3.075   0.6606
2.43   0   3.09   0.653
2.44   0   3.104   0.6454
2.45   0   3.117   0.6378
2.46   0   3.13   0.63
2.47   0   3.143   0.6222
2.48   0   3.155   0.6144
2.49   0   3.167   0.6065
2.5   0   3.178   0.5985
2.51   0   3.189   0.5904
2.52   0   3.2   0.5823
2.53   0   3.21   0.5742
2.54   0   3.219   0.566
2.55   0   3.229   0.5577
2.56   0   3.237   0.5494
2.57   0   3.246   0.541
2.58   0   3.254   0.5325
2.59   0   3.261   0.524
2.6   0   3.269   0.5155
2.61   0   3.275   0.5069
2.62   0   3.282   0.4983
2.63   0   3.288   0.4896
2.64   0   3.293   0.4808
2.65   0   3.299   0.472
2.66   0   3.304   0.4632
2.67   0   3.308   0.4543
2.68   0   3.312   0.4454
2.69   0   3.316   0.4364
2.7   0   3.319   0.4274
2.71   0   3.322   0.4183
2.72   0   3.325   0.4092
2.73   0   3.327   0.4001
2.74   0   3.329   0.3909
2.75   0   3.331   0.3817
2.76   0   3.332   0.3724
2.77   0   3.333   0.3631
2.78   0   3.333   0.3538
2.79   0   3.333   0.3444
2.8   0   3.333   0.335
2.81   0   3.333   0.3255
2.82   0   3.332   0.3161
2.83   0   3.331   0.3066
2.84   0   3.329   0.297
2.85   0   3.328   0.2875
2.86   0   3.326   0.2779
2.87   0   3.323   0.2683
2.88   0   3.32   0.2586
2.89   0   3.317   0.2489
2.9   0   3.314   0.2392
2.91   0   3.311   0.2295
2.92   0   3.307   0.2198
2.93   0   3.302   0.21
2.94   0   3.298   0.2002
2.95   0   3.293   0.1904
2.96   0   3.288   0.1806
2.97   0   3.283   0.1708
2.98   0   3.277   0.1609
2.99   0   3.271   0.151
3   0   3.265   0.1411
3.01   5   3.259   0.1312
3.02   5   3.252   0.1213
3.03   5   3.246   0.1114
3.04   5   3.239   0.1014
3.05   5   3.233   0.09146
3.06   5   3.228   0.0815
3.07   5   3.222   0.07153
3.08   5   3.217   0.06155
3.09   5   3.212   0.05157
3.1   5   3.207   0.04158
3.11   5   3.203   0.03159
3.12   5   3.198   0.02159
3.13   5   3.194   0.01159
3.14   5   3.19   0.001593
3.15   5   3.187   -0.008407
3.16   5   3.183   -0.01841
3.17   5   3.18   -0.0284
3.18   5   3.177   -0.0384
