#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Choix des valeurs pour le circuit suivant :
#_____/\/\/\____  
#|      R      _|_
#E           C ---
#|______________|
#Valeur de R (Ohm) : 
#Valeur de C (Farad) : 
#Temps   Ve   Vs   
5.61   0.55   -0.4852
5.62   0.6   -0.4749
5.63   0.65   -0.4641
5.64   0.7   -0.453
5.65   0.75   -0.4415
5.66   0.8   -0.4296
5.67   0.85   -0.4173
5.68   0.9   -0.4046
5.69   0.95   -0.3915
5.7   1   -0.3781
5.71   1.05   -0.3644
5.72   1.1   -0.3502
5.73   1.15   -0.3357
5.74   1.2   -0.3208
5.75   1.25   -0.3056
5.76   1.3   -0.2901
5.77   1.35   -0.2742
5.78   1.4   -0.2579
5.79   1.45   -0.2414
5.8   1.5   -0.2244
5.81   1.55   -0.2072
5.82   1.6   -0.1896
5.83   1.65   -0.1717
5.84   1.7   -0.1535
5.85   1.75   -0.135
5.86   1.8   -0.1161
5.87   1.85   -0.09697
5.88   1.9   -0.0775
5.89   1.95   -0.05773
5.9   2   -0.03765
5.91   2.05   -0.01727
5.92   2.1   0.0034
5.93   2.15   0.02437
5.94   2.2   0.04562
5.95   2.25   0.06717
5.96   2.3   0.08899
5.97   2.35   0.1111
5.98   2.4   0.1335
5.99   2.45   0.1562
6   2.5   0.1791
6.01   2.45   0.2023
6.02   2.4   0.2248
6.03   2.35   0.2465
6.04   2.3   0.2676
6.05   2.25   0.2879
6.06   2.2   0.3075
6.07   2.15   0.3264
6.08   2.1   0.3447
6.09   2.05   0.3622
6.1   2   0.3791
6.11   1.95   0.3953
6.12   1.9   0.4109
6.13   1.85   0.4258
6.14   1.8   0.44
6.15   1.75   0.4536
6.16   1.7   0.4666
6.17   1.65   0.4789
6.18   1.6   0.4906
6.19   1.55   0.5017
6.2   1.5   0.5122
6.21   1.45   0.5221
6.22   1.4   0.5313
6.23   1.35   0.54
6.24   1.3   0.5481
6.25   1.25   0.5556
6.26   1.2   0.5626
6.27   1.15   0.569
6.28   1.1   0.5748
6.29   1.05   0.58
6.3   1   0.5847
6.31   0.95   0.5889
6.32   0.9   0.5925
6.33   0.85   0.5956
6.34   0.8   0.5981
6.35   0.75   0.6001
6.36   0.7   0.6016
6.37   0.65   0.6026
6.38   0.6   0.6031
6.39   0.55   0.6031
6.4   0.5   0.6025
6.41   0.45   0.6015
6.42   0.4   0.6
6.43   0.35   0.598
6.44   0.3   0.5955
6.45   0.25   0.5925
6.46   0.2   0.5891
6.47   0.15   0.5852
6.48   0.1   0.5809
6.49   0.05   0.5761
6.5   4.707e-13   0.5708
6.51   -0.05   0.5651
6.52   -0.1   0.559
6.53   -0.15   0.5524
6.54   -0.2   0.5453
6.55   -0.25   0.5379
6.56   -0.3   0.53
6.57   -0.35   0.5217
6.58   -0.4   0.513
6.59   -0.45   0.5039
6.6   -0.5   0.4943
6.61   -0.55   0.4844
6.62   -0.6   0.474
6.63   -0.65   0.4633
6.64   -0.7   0.4522
6.65   -0.75   0.4406
6.66   -0.8   0.4287
6.67   -0.85   0.4164
6.68   -0.9   0.4038
6.69   -0.95   0.3907
6.7   -1   0.3773
6.71   -1.05   0.3636
6.72   -1.1   0.3494
6.73   -1.15   0.3349
6.74   -1.2   0.3201
6.75   -1.25   0.3049
6.76   -1.3   0.2893
6.77   -1.35   0.2734
6.78   -1.4   0.2572
6.79   -1.45   0.2406
6.8   -1.5   0.2237
6.81   -1.55   0.2065
