#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Choix des valeurs pour le circuit suivant :
#_____/\/\/\____|\______________  
#|      Rd      |/       |     |
#|                 D     /    _|_
#E                     R \    --- C 
#|                       /     |
#|_______________________|_____|
#Valeur de Rd (Ohm) : 
#Valeur de R (Ohm) : 
#Valeur de C (Farad) : 
#Temps   Ve   Vs   Vd
#Diode passante
2.63   5   2.116   4.829
2.64   5   2.118   4.833
2.65   5   2.12   4.836
2.66   5   2.121   4.839
2.67   5   2.123   4.843
2.68   5   2.124   4.846
2.69   5   2.126   4.849
2.7   5   2.127   4.852
2.71   5   2.129   4.855
2.72   5   2.13   4.858
2.73   5   2.132   4.861
2.74   5   2.133   4.863
2.75   5   2.134   4.866
2.76   5   2.136   4.869
2.77   5   2.137   4.871
2.78   5   2.138   4.874
2.79   5   2.14   4.877
2.8   5   2.141   4.879
2.81   5   2.142   4.881
2.82   5   2.143   4.884
2.83   5   2.144   4.886
2.84   5   2.145   4.888
2.85   5   2.146   4.891
2.86   5   2.147   4.893
2.87   5   2.149   4.895
2.88   5   2.15   4.897
2.89   5   2.151   4.899
2.9   5   2.152   4.901
2.91   5   2.153   4.903
2.92   5   2.153   4.905
2.93   5   2.154   4.907
2.94   5   2.155   4.909
2.95   5   2.156   4.911
2.96   5   2.157   4.912
2.97   5   2.158   4.914
2.98   5   2.159   4.916
2.99   5   2.16   4.918
3   5   2.16   4.919
3.01   5   2.161   4.921
3.02   5   2.162   4.922
3.03   5   2.163   4.924
3.04   5   2.164   4.926
3.05   5   2.164   4.927
3.06   5   2.165   4.928
3.07   5   2.166   4.93
3.08   5   2.166   4.931
3.09   5   2.167   4.933
3.1   5   2.168   4.934
3.11   5   2.168   4.935
3.12   5   2.169   4.937
3.13   5   2.17   4.938
3.14   5   2.17   4.939
3.15   5   2.171   4.94
3.16   5   2.171   4.942
3.17   5   2.172   4.943
3.18   5   2.172   4.944
3.19   5   2.173   4.945
3.2   5   2.174   4.946
3.21   5   2.174   4.947
3.22   5   2.175   4.948
3.23   5   2.175   4.949
3.24   5   2.176   4.95
3.25   5   2.176   4.951
3.26   5   2.177   4.952
3.27   5   2.177   4.953
3.28   5   2.178   4.954
3.29   5   2.178   4.955
3.3   5   2.178   4.956
3.31   5   2.179   4.957
3.32   5   2.179   4.958
3.33   5   2.18   4.959
3.34   5   2.18   4.959
3.35   5   2.18   4.96
3.36   5   2.181   4.961
3.37   5   2.181   4.962
3.38   5   2.182   4.963
3.39   5   2.182   4.963
3.4   5   2.182   4.964
3.41   5   2.183   4.965
3.42   5   2.183   4.965
3.43   5   2.183   4.966
3.44   5   2.184   4.967
3.45   5   2.184   4.967
3.46   5   2.184   4.968
3.47   5   2.185   4.969
3.48   5   2.185   4.969
3.49   5   2.185   4.97
3.5   5   2.186   4.971
3.51   5   2.186   4.971
3.52   5   2.186   4.972
3.53   5   2.186   4.972
3.54   5   2.187   4.973
3.55   5   2.187   4.973
3.56   5   2.187   4.974
3.57   5   2.187   4.974
3.58   5   2.188   4.975
3.59   5   2.188   4.975
3.6   5   2.188   4.976
3.61   5   2.188   4.976
3.62   5   2.189   4.977
3.63   5   2.189   4.977
3.64   5   2.189   4.978
3.65   5   2.189   4.978
3.66   5   2.19   4.979
3.67   5   2.19   4.979
3.68   5   2.19   4.98
3.69   5   2.19   4.98
3.7   5   2.19   4.98
3.71   5   2.191   4.981
3.72   5   2.191   4.981
3.73   5   2.191   4.982
3.74   5   2.191   4.982
3.75   5   2.191   4.982
3.76   5   2.191   4.983
3.77   5   2.192   4.983
3.78   5   2.192   4.983
3.79   5   2.192   4.984
3.8   5   2.192   4.984
3.81   5   2.192   4.984
3.82   5   2.192   4.985
3.83   5   2.193   4.985
3.84   5   2.193   4.985
3.85   5   2.193   4.985
3.86   5   2.193   4.986
3.87   5   2.193   4.986
3.88   5   2.193   4.986
3.89   5   2.193   4.987
3.9   5   2.194   4.987
3.91   5   2.194   4.987
3.92   5   2.194   4.987
3.93   5   2.194   4.988
3.94   5   2.194   4.988
3.95   5   2.194   4.988
3.96   5   2.194   4.988
3.97   5   2.194   4.989
3.98   5   2.195   4.989
3.99   5   2.195   4.989
4   5   2.195   4.989
4.01   5   2.195   4.99
4.02   5   2.195   4.99
4.03   5   2.195   4.99
4.04   5   2.195   4.99
4.05   5   2.195   4.99
4.06   5   2.195   4.991
4.07   5   2.195   4.991
4.08   5   2.196   4.991
4.09   5   2.196   4.991
4.1   5   2.196   4.991
4.11   5   2.196   4.991
4.12   5   2.196   4.992
4.13   5   2.196   4.992
4.14   5   2.196   4.992
4.15   5   2.196   4.992
4.16   5   2.196   4.992
4.17   5   2.196   4.992
4.18   5   2.196   4.993
4.19   5   2.196   4.993
4.2   5   2.196   4.993
4.21   5   2.197   4.993
4.22   5   2.197   4.993
4.23   5   2.197   4.993
4.24   5   2.197   4.993
4.25   5   2.197   4.994
4.26   5   2.197   4.994
4.27   5   2.197   4.994
4.28   5   2.197   4.994
4.29   5   2.197   4.994
4.3   5   2.197   4.994
4.31   5   2.197   4.994
4.32   5   2.197   4.994
4.33   5   2.197   4.995
4.34   5   2.197   4.995
4.35   5   2.197   4.995
4.36   5   2.197   4.995
4.37   5   2.198   4.995
4.38   5   2.198   4.995
4.39   5   2.198   4.995
4.4   5   2.198   4.995
4.41   5   2.198   4.995
4.42   5   2.198   4.995
4.43   5   2.198   4.996
4.44   5   2.198   4.996
4.45   5   2.198   4.996
4.46   5   2.198   4.996
4.47   5   2.198   4.996
4.48   5   2.198   4.996
4.49   5   2.198   4.996
4.5   5   2.198   4.996
4.51   5   2.198   4.996
4.52   5   2.198   4.996
