#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Valeur de R (Ohm) : 
#Valeur de L (Henry) : 
#Valeur de C (Farad) : 
#Temps   Entree   Sortie-Solution   Sinus(sol exact)   
6.33   0   -0.5615   0.0468
6.34   0   -0.5683   0.05678
6.35   0   -0.575   0.06676
6.36   0   -0.5815   0.07674
6.37   0   -0.588   0.08671
6.38   0   -0.5943   0.09666
6.39   0   -0.6005   0.1066
6.4   0   -0.6066   0.1165
6.41   0   -0.6126   0.1265
6.42   0   -0.6184   0.1364
6.43   0   -0.6242   0.1463
6.44   0   -0.6298   0.1562
6.45   0   -0.6352   0.166
6.46   0   -0.6406   0.1759
6.47   0   -0.6459   0.1857
6.48   0   -0.651   0.1955
6.49   0   -0.656   0.2053
6.5   0   -0.6609   0.2151
6.51   0   -0.6657   0.2249
6.52   0   -0.6704   0.2346
6.53   0   -0.6749   0.2443
6.54   0   -0.6794   0.254
6.55   0   -0.6837   0.2637
6.56   0   -0.688   0.2733
6.57   0   -0.6921   0.2829
6.58   0   -0.6961   0.2925
6.59   0   -0.7   0.302
6.6   0   -0.7038   0.3115
6.61   0   -0.7074   0.321
6.62   0   -0.711   0.3305
6.63   0   -0.7145   0.3399
6.64   0   -0.7178   0.3493
6.65   0   -0.7211   0.3586
6.66   0   -0.7242   0.368
6.67   0   -0.7273   0.3772
6.68   0   -0.7302   0.3865
6.69   0   -0.7331   0.3957
6.7   0   -0.7358   0.4048
6.71   0   -0.7385   0.414
6.72   0   -0.741   0.4231
6.73   0   -0.7434   0.4321
6.74   0   -0.7458   0.4411
6.75   0   -0.748   0.45
6.76   0   -0.7502   0.459
6.77   0   -0.7522   0.4678
6.78   0   -0.7542   0.4766
6.79   0   -0.756   0.4854
6.8   0   -0.7578   0.4941
6.81   0   -0.7595   0.5028
6.82   0   -0.7611   0.5114
6.83   0   -0.7625   0.52
6.84   0   -0.7639   0.5285
6.85   0   -0.7653   0.5369
6.86   0   -0.7665   0.5454
6.87   0   -0.7676   0.5537
6.88   0   -0.7686   0.562
6.89   0   -0.7696   0.5703
6.9   0   -0.7705   0.5784
6.91   0   -0.7712   0.5866
6.92   0   -0.7719   0.5946
6.93   0   -0.7726   0.6026
6.94   0   -0.7731   0.6106
6.95   0   -0.7735   0.6185
6.96   0   -0.7739   0.6263
6.97   0   -0.7742   0.6341
6.98   0   -0.7744   0.6418
6.99   0   -0.7745   0.6494
7   0   -0.7746   0.657
7.01   0   -0.7745   0.6645
7.02   0   -0.7744   0.6719
7.03   0   -0.7742   0.6793
7.04   0   -0.774   0.6866
7.05   0   -0.7736   0.6938
7.06   0   -0.7732   0.701
7.07   0   -0.7727   0.7081
7.08   0   -0.7722   0.7151
7.09   0   -0.7716   0.7221
7.1   0   -0.7709   0.729
7.11   0   -0.7701   0.7358
7.12   0   -0.7693   0.7425
7.13   0   -0.7684   0.7492
7.14   0   -0.7674   0.7558
7.15   0   -0.7663   0.7623
7.16   0   -0.7652   0.7687
7.17   0   -0.7641   0.7751
7.18   0   -0.7628   0.7813
7.19   0   -0.7615   0.7875
7.2   0   -0.7602   0.7937
7.21   0   -0.7587   0.7997
7.22   0   -0.7572   0.8057
7.23   0   -0.7557   0.8116
7.24   0   -0.7541   0.8174
7.25   0   -0.7524   0.8231
7.26   0   -0.7507   0.8287
7.27   0   -0.7489   0.8343
7.28   0   -0.7471   0.8397
7.29   0   -0.7452   0.8451
7.3   0   -0.7432   0.8504
7.31   0   -0.7412   0.8557
7.32   0   -0.7391   0.8608
7.33   0   -0.737   0.8658
7.34   0   -0.7348   0.8708
7.35   0   -0.7326   0.8757
7.36   0   -0.7303   0.8805
7.37   0   -0.728   0.8851
7.38   0   -0.7256   0.8898
7.39   0   -0.7232   0.8943
7.4   0   -0.7207   0.8987
7.41   0   -0.7182   0.903
7.42   0   -0.7156   0.9073
7.43   0   -0.713   0.9115
7.44   0   -0.7104   0.9155
7.45   0   -0.7077   0.9195
7.46   0   -0.7049   0.9234
7.47   0   -0.7021   0.9272
7.48   0   -0.6993   0.9309
7.49   0   -0.6964   0.9345
7.5   0   -0.6935   0.938
7.51   0   -0.6906   0.9414
7.52   0   -0.6876   0.9447
7.53   0   -0.6845   0.948
7.54   0   -0.6815   0.9511
7.55   0   -0.6783   0.9542
7.56   0   -0.6752   0.9571
7.57   0   -0.672   0.9599
7.58   0   -0.6688   0.9627
7.59   0   -0.6655   0.9654
7.6   0   -0.6622   0.9679
7.61   0   -0.6589   0.9704
7.62   0   -0.6556   0.9728
7.63   0   -0.6522   0.975
7.64   0   -0.6488   0.9772
7.65   0   -0.6453   0.9793
7.66   0   -0.6418   0.9812
7.67   0   -0.6383   0.9831
7.68   0   -0.6348   0.9849
7.69   0   -0.6312   0.9866
7.7   0   -0.6276   0.9882
7.71   0   -0.624   0.9897
7.72   0   -0.6203   0.991
7.73   0   -0.6166   0.9923
7.74   0   -0.6129   0.9935
7.75   0   -0.6092   0.9946
7.76   0   -0.6055   0.9956
7.77   0   -0.6017   0.9965
7.78   0   -0.5979   0.9973
7.79   0   -0.5941   0.998
7.8   0   -0.5902   0.9985
7.81   0   -0.5864   0.999
7.82   0   -0.5825   0.9994
7.83   0   -0.5786   0.9997
7.84   0   -0.5747   0.9999
7.85   0   -0.5707   1
7.86   0   -0.5668   1
7.87   0   -0.5628   0.9999
7.88   0   -0.5588   0.9997
7.89   0   -0.5548   0.9994
7.9   0   -0.5508   0.9989
7.91   0   -0.5467   0.9984
7.92   0   -0.5427   0.9978
7.93   0   -0.5386   0.9971
7.94   0   -0.5345   0.9963
7.95   0   -0.5304   0.9954
7.96   0   -0.5263   0.9944
7.97   0   -0.5222   0.9933
7.98   0   -0.5181   0.9921
7.99   0   -0.5139   0.9908
8   0   -0.5098   0.9894
8.01   0   -0.5056   0.9879
8.02   0   -0.5015   0.9863
8.03   0   -0.4973   0.9845
8.04   0   -0.4931   0.9827
8.05   0   -0.4889   0.9808
8.06   0   -0.4847   0.9789
8.07   0   -0.4805   0.9768
8.08   0   -0.4763   0.9746
8.09   0   -0.472   0.9723
8.1   0   -0.4678   0.9699
8.11   0   -0.4636   0.9674
8.12   0   -0.4593   0.9648
8.13   0   -0.4551   0.9621
8.14   0   -0.4509   0.9594
8.15   0   -0.4466   0.9565
8.16   0   -0.4424   0.9535
8.17   0   -0.4381   0.9505
8.18   0   -0.4338   0.9473
8.19   0   -0.4296   0.9441
8.2   0   -0.4253   0.9407
8.21   0   -0.4211   0.9373
8.22   0   -0.4168   0.9338
8.23   0   -0.4126   0.9301
8.24   0   -0.4083   0.9264
8.25   0   -0.4041   0.9226
8.26   0   -0.3998   0.9187
8.27   0   -0.3956   0.9147
8.28   0   -0.3913   0.9106
8.29   0   -0.3871   0.9064
8.3   0   -0.3828   0.9022
8.31   0   -0.3786   0.8978
8.32   0   -0.3743   0.8934
8.33   0   -0.3701   0.8888
8.34   0   -0.3659   0.8842
8.35   0   -0.3617   0.8795
8.36   0   -0.3575   0.8747
8.37   0   -0.3532   0.8698
8.38   0   -0.349   0.8648
8.39   0   -0.3449   0.8597
8.4   0   -0.3407   0.8546
8.41   0   -0.3365   0.8494
8.42   0   -0.3323   0.844
