#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Temps   Entree   Sortie-Solution   Sinus(sol exact)   
5.4   0   -0.794   -0.7728
5.41   0   -0.7875   -0.7664
5.42   0   -0.7809   -0.7599
5.43   0   -0.7742   -0.7534
5.44   0   -0.7675   -0.7468
5.45   0   -0.7606   -0.7401
5.46   0   -0.7537   -0.7333
5.47   0   -0.7468   -0.7265
5.48   0   -0.7397   -0.7196
5.49   0   -0.7326   -0.7126
5.5   0   -0.7253   -0.7055
5.51   0   -0.7181   -0.6984
5.52   0   -0.7107   -0.6912
5.53   0   -0.7033   -0.684
5.54   0   -0.6958   -0.6766
5.55   0   -0.6882   -0.6692
5.56   0   -0.6806   -0.6618
5.57   0   -0.6729   -0.6542
5.58   0   -0.6651   -0.6467
5.59   0   -0.6572   -0.639
5.6   0   -0.6493   -0.6313
5.61   0   -0.6414   -0.6235
5.62   0   -0.6333   -0.6156
5.63   0   -0.6252   -0.6077
5.64   0   -0.6171   -0.5997
5.65   0   -0.6088   -0.5917
5.66   0   -0.6005   -0.5836
5.67   0   -0.5922   -0.5755
5.68   0   -0.5838   -0.5673
5.69   0   -0.5753   -0.559
5.7   0   -0.5668   -0.5507
5.71   0   -0.5582   -0.5423
5.72   0   -0.5495   -0.5339
5.73   0   -0.5408   -0.5254
5.74   0   -0.5321   -0.5169
5.75   0   -0.5233   -0.5083
5.76   0   -0.5144   -0.4996
5.77   0   -0.5055   -0.491
5.78   0   -0.4965   -0.4822
5.79   0   -0.4875   -0.4734
5.8   0   -0.4784   -0.4646
5.81   0   -0.4693   -0.4557
5.82   0   -0.4602   -0.4468
5.83   0   -0.451   -0.4378
5.84   0   -0.4417   -0.4288
5.85   0   -0.4324   -0.4198
5.86   0   -0.4231   -0.4107
5.87   0   -0.4137   -0.4015
5.88   0   -0.4042   -0.3924
5.89   0   -0.3948   -0.3831
5.9   0   -0.3853   -0.3739
5.91   0   -0.3757   -0.3646
5.92   0   -0.3661   -0.3553
5.93   0   -0.3565   -0.3459
5.94   0   -0.3468   -0.3365
5.95   0   -0.3371   -0.3271
5.96   0   -0.3274   -0.3176
5.97   0   -0.3176   -0.3081
5.98   0   -0.3078   -0.2986
5.99   0   -0.298   -0.289
6   0   -0.2881   -0.2794
6.01   0   -0.2782   -0.2698
6.02   0   -0.2683   -0.2602
6.03   0   -0.2584   -0.2505
6.04   0   -0.2484   -0.2408
6.05   0   -0.2384   -0.2311
6.06   0   -0.2283   -0.2213
6.07   0   -0.2183   -0.2116
6.08   0   -0.2082   -0.2018
6.09   0   -0.1981   -0.192
6.1   0   -0.188   -0.1822
6.11   0   -0.1779   -0.1723
6.12   0   -0.1677   -0.1625
6.13   0   -0.1575   -0.1526
6.14   0   -0.1474   -0.1427
6.15   0   -0.1371   -0.1328
6.16   0   -0.1269   -0.1229
6.17   0   -0.1167   -0.1129
6.18   0   -0.1064   -0.103
6.19   0   -0.09619   -0.09305
6.2   0   -0.08592   -0.08309
6.21   0   -0.07564   -0.07312
6.22   0   -0.06535   -0.06314
6.23   0   -0.05506   -0.05316
6.24   0   -0.04475   -0.04317
6.25   0   -0.03445   -0.03318
6.26   0   -0.02414   -0.02318
6.27   0   -0.01382   -0.01318
6.28   0   -0.003503   -0.003185
6.29   0   0.006816   0.006815
6.3   0   0.01714   0.01681
6.31   0   0.02745   0.02681
6.32   0   0.03777   0.03681
6.33   0   0.04808   0.0468
6.34   0   0.0584   0.05678
6.35   0   0.0687   0.06676
6.36   0   0.079   0.07674
6.37   0   0.08929   0.08671
6.38   0   0.09958   0.09666
6.39   0   0.1099   0.1066
6.4   0   0.1201   0.1165
6.41   0   0.1304   0.1265
6.42   0   0.1406   0.1364
6.43   0   0.1508   0.1463
6.44   0   0.1611   0.1562
6.45   0   0.1713   0.166
6.46   0   0.1814   0.1759
6.47   0   0.1916   0.1857
6.48   0   0.2018   0.1955
6.49   0   0.2119   0.2053
6.5   0   0.222   0.2151
6.51   0   0.2321   0.2249
6.52   0   0.2422   0.2346
6.53   0   0.2522   0.2443
6.54   0   0.2622   0.254
6.55   0   0.2722   0.2637
6.56   0   0.2822   0.2733
6.57   0   0.2921   0.2829
6.58   0   0.302   0.2925
6.59   0   0.3119   0.302
6.6   0   0.3218   0.3115
6.61   0   0.3316   0.321
6.62   0   0.3414   0.3305
6.63   0   0.3511   0.3399
6.64   0   0.3609   0.3493
6.65   0   0.3706   0.3586
6.66   0   0.3802   0.368
6.67   0   0.3898   0.3772
6.68   0   0.3994   0.3865
6.69   0   0.4089   0.3957
6.7   0   0.4184   0.4048
6.71   0   0.4279   0.414
6.72   0   0.4373   0.4231
6.73   0   0.4467   0.4321
6.74   0   0.456   0.4411
6.75   0   0.4653   0.45
6.76   0   0.4745   0.459
6.77   0   0.4837   0.4678
6.78   0   0.4929   0.4766
6.79   0   0.502   0.4854
6.8   0   0.511   0.4941
6.81   0   0.52   0.5028
6.82   0   0.5289   0.5114
6.83   0   0.5378   0.52
6.84   0   0.5467   0.5285
6.85   0   0.5555   0.5369
6.86   0   0.5642   0.5454
6.87   0   0.5729   0.5537
6.88   0   0.5815   0.562
6.89   0   0.59   0.5703
6.9   0   0.5985   0.5784
6.91   0   0.607   0.5866
6.92   0   0.6154   0.5946
6.93   0   0.6237   0.6026
6.94   0   0.632   0.6106
6.95   0   0.6402   0.6185
6.96   0   0.6483   0.6263
6.97   0   0.6564   0.6341
6.98   0   0.6644   0.6418
6.99   0   0.6723   0.6494
7   0   0.6802   0.657
7.01   0   0.688   0.6645
7.02   0   0.6958   0.6719
7.03   0   0.7034   0.6793
7.04   0   0.711   0.6866
7.05   0   0.7186   0.6938
7.06   0   0.726   0.701
7.07   0   0.7334   0.7081
7.08   0   0.7407   0.7151
7.09   0   0.748   0.7221
7.1   0   0.7551   0.729
7.11   0   0.7622   0.7358
7.12   0   0.7693   0.7425
7.13   0   0.7762   0.7492
7.14   0   0.7831   0.7558
7.15   0   0.7899   0.7623
7.16   0   0.7966   0.7687
7.17   0   0.8032   0.7751
7.18   0   0.8097   0.7813
7.19   0   0.8162   0.7875
7.2   0   0.8226   0.7937
7.21   0   0.8289   0.7997
7.22   0   0.8351   0.8057
7.23   0   0.8413   0.8116
7.24   0   0.8473   0.8174
7.25   0   0.8533   0.8231
7.26   0   0.8592   0.8287
7.27   0   0.865   0.8343
7.28   0   0.8707   0.8397
7.29   0   0.8764   0.8451
7.3   0   0.8819   0.8504
7.31   0   0.8874   0.8557
7.32   0   0.8927   0.8608
7.33   0   0.898   0.8658
7.34   0   0.9032   0.8708
7.35   0   0.9083   0.8757
7.36   0   0.9133   0.8805
7.37   0   0.9183   0.8851
7.38   0   0.9231   0.8898
7.39   0   0.9278   0.8943
7.4   0   0.9325   0.8987
7.41   0   0.937   0.903
7.42   0   0.9415   0.9073
7.43   0   0.9458   0.9115
7.44   0   0.9501   0.9155
7.45   0   0.9543   0.9195
7.46   0   0.9584   0.9234
7.47   0   0.9624   0.9272
7.48   0   0.9663   0.9309
7.49   0   0.9701   0.9345
7.5   0   0.9738   0.938
7.51   0   0.9774   0.9414
7.52   0   0.9809   0.9447
7.53   0   0.9843   0.948
7.54   0   0.9876   0.9511
7.55   0   0.9908   0.9542
7.56   0   0.9939   0.9571
7.57   0   0.9969   0.9599
7.58   0   0.9998   0.9627
7.59   0   1.003   0.9654
7.6   0   1.005   0.9679
7.61   0   1.008   0.9704
7.62   0   1.01   0.9728
7.63   0   1.013   0.975
7.64   0   1.015   0.9772
7.65   0   1.017   0.9793
7.66   0   1.02   0.9812
7.67   0   1.022   0.9831
7.68   0   1.023   0.9849
7.69   0   1.025   0.9866
7.7   0   1.027   0.9882
7.71   0   1.029   0.9897
7.72   0   1.03   0.991
7.73   0   1.031   0.9923
7.74   0   1.033   0.9935
7.75   0   1.034   0.9946
7.76   0   1.035   0.9956
7.77   0   1.036   0.9965
7.78   0   1.037   0.9973
7.79   0   1.038   0.998
7.8   0   1.038   0.9985
7.81   0   1.039   0.999
7.82   0   1.039   0.9994
7.83   0   1.04   0.9997
7.84   0   1.04   0.9999
7.85   0   1.04   1
7.86   0   1.04   1
7.87   0   1.04   0.9999
7.88   0   1.04   0.9997
7.89   0   1.04   0.9994
7.9   0   1.039   0.9989
7.91   0   1.039   0.9984
7.92   0   1.038   0.9978
7.93   0   1.037   0.9971
7.94   0   1.037   0.9963
7.95   0   1.036   0.9954
7.96   0   1.035   0.9944
7.97   0   1.034   0.9933
7.98   0   1.032   0.9921
7.99   0   1.031   0.9908
8   0   1.03   0.9894
8.01   0   1.028   0.9879
8.02   0   1.027   0.9863
8.03   0   1.025   0.9845
8.04   0   1.023   0.9827
8.05   0   1.021   0.9808
8.06   0   1.019   0.9789
8.07   0   1.017   0.9768
8.08   0   1.015   0.9746
8.09   0   1.012   0.9723
8.1   0   1.01   0.9699
8.11   0   1.008   0.9674
8.12   0   1.005   0.9648
8.13   0   1.002   0.9621
8.14   0   0.9993   0.9594
8.15   0   0.9964   0.9565
8.16   0   0.9933   0.9535
8.17   0   0.9902   0.9505
