#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Choix des valeurs pour le circuit suivant :
#_____/\/\/\____|\______________  
#|      Rd      |/       |     |
#|                 D     /    _|_
#E                     R \    --- C 
#|                       /     |
#|_______________________|_____|
#Valeur de Rd (Ohm) : 
#Valeur de R (Ohm) : 
#Valeur de C (Farad) : 
#Temps   Ve   Vs   Vd
#Diode passante
2.18   1.6   0.4167   1.379
2.19   1.55   0.4183   1.383
2.2   1.5   0.4195   1.387
2.21   1.45   0.4201   1.389
2.22   1.4   0.4202   1.39
2.23   1.35   0.4198   1.39
2.24   1.3   0.4189   1.39
2.25   1.25   0.4175   1.388
2.26   1.2   0.4156   1.385
2.27   1.15   0.4133   1.381
2.28   1.1   0.4106   1.377
2.29   1.05   0.4073   1.371
2.3   1   0.4037   1.365
2.31   0.95   0.3996   1.357
2.32   0.9   0.3951   1.349
2.33   0.85   0.3902   1.34
2.34   0.8   0.3849   1.33
2.35   0.75   0.3792   1.32
2.36   0.7   0.3731   1.308
2.37   0.65   0.3667   1.296
2.38   0.6   0.3598   1.283
2.39   0.55   0.3527   1.27
2.4   0.5   0.3451   1.255
2.41   0.45   0.3372   1.24
2.42   0.4   0.329   1.224
2.43   0.35   0.3204   1.208
2.44   0.3   0.3115   1.191
2.45   0.25   0.3022   1.173
2.46   0.2   0.2927   1.154
2.47   0.15   0.2828   1.135
2.48   0.1   0.2727   1.116
2.49   0.05   0.2622   1.095
2.5   4.663e-14   0.2515   1.074
2.51   -0.05   0.2405   1.053
2.52   -0.1   0.2291   1.031
2.53   -0.15   0.2176   1.008
2.54   -0.2   0.2057   0.9851
2.55   -0.25   0.1936   0.9614
2.56   -0.3   0.1812   0.9372
2.57   -0.35   0.1686   0.9124
2.58   -0.4   0.1557   0.8872
2.59   -0.45   0.1426   0.8615
2.6   -0.5   0.1293   0.8352
2.61   -0.55   0.1157   0.8085
2.62   -0.6   0.1019   0.7813
2.63   -0.65   0.08782   0.7537
2.64   -0.7   0.07357   0.7256
2.65   -0.75   0.0591   0.6971
2.66   -0.8   0.04441   0.6682
2.67   -0.85   0.02953   0.6388
2.68   -0.9   0.01444   0.6091
2.69   -0.95   -0.0008531   0.5789
#Diode bloquee
2.7   -1   -0.0008446   -1.001
2.71   -1.05   -0.0008361   -1.051
2.72   -1.1   -0.0008278   -1.101
2.73   -1.15   -0.0008195   -1.151
2.74   -1.2   -0.0008113   -1.201
2.75   -1.25   -0.0008032   -1.251
2.76   -1.3   -0.0007951   -1.301
2.77   -1.35   -0.0007872   -1.351
2.78   -1.4   -0.0007793   -1.401
2.79   -1.45   -0.0007715   -1.451
2.8   -1.5   -0.0007638   -1.501
2.81   -1.55   -0.0007562   -1.551
2.82   -1.6   -0.0007486   -1.601
2.83   -1.65   -0.0007411   -1.651
2.84   -1.7   -0.0007337   -1.701
