#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Choix des valeurs pour le circuit suivant :
#_____/\/\/\____  
#|      R      _|_
#E           C ---
#|______________|
#Valeur de R (Ohm) : 
#Valeur de C (Farad) : 
#Temps   Ve   Vs   
3.78   5   3.445
3.79   5   3.461
3.8   5   3.476
3.81   5   3.491
3.82   5   3.506
3.83   5   3.521
3.84   5   3.536
3.85   5   3.551
3.86   5   3.565
3.87   5   3.579
3.88   5   3.594
3.89   5   3.608
3.9   5   3.622
3.91   5   3.635
3.92   5   3.649
3.93   5   3.663
3.94   5   3.676
3.95   5   3.689
3.96   5   3.702
3.97   5   3.715
3.98   5   3.728
3.99   5   3.741
4   5   3.753
4.01   5   3.766
4.02   5   3.778
4.03   5   3.79
4.04   5   3.803
4.05   5   3.815
4.06   5   3.826
4.07   5   3.838
4.08   5   3.85
4.09   5   3.861
4.1   5   3.873
4.11   5   3.884
4.12   5   3.895
4.13   5   3.906
4.14   5   3.917
4.15   5   3.928
4.16   5   3.939
4.17   5   3.949
4.18   5   3.96
4.19   5   3.97
4.2   5   3.98
4.21   0   3.991
4.22   0   3.951
4.23   0   3.911
4.24   0   3.872
4.25   0   3.833
4.26   0   3.795
4.27   0   3.757
4.28   0   3.72
4.29   0   3.682
4.3   0   3.646
4.31   0   3.609
4.32   0   3.573
4.33   0   3.537
4.34   0   3.502
4.35   0   3.467
4.36   0   3.432
4.37   0   3.398
4.38   0   3.364
4.39   0   3.33
4.4   0   3.297
4.41   0   3.264
4.42   0   3.231
4.43   0   3.199
4.44   0   3.167
4.45   0   3.135
4.46   0   3.104
4.47   0   3.073
4.48   0   3.042
4.49   0   3.012
4.5   0   2.982
4.51   0   2.952
4.52   0   2.922
4.53   0   2.893
4.54   0   2.864
4.55   0   2.836
4.56   0   2.807
4.57   0   2.779
4.58   0   2.751
4.59   0   2.724
4.6   0   2.697
4.61   0   2.67
4.62   0   2.643
4.63   0   2.616
4.64   0   2.59
4.65   0   2.564
4.66   0   2.539
4.67   0   2.513
4.68   0   2.488
4.69   0   2.463
4.7   0   2.439
4.71   0   2.414
4.72   0   2.39
4.73   0   2.366
4.74   0   2.343
4.75   0   2.319
4.76   0   2.296
4.77   0   2.273
4.78   0   2.25
4.79   0   2.228
4.8   0   2.206
4.81   0   2.183
4.82   0   2.162
4.83   0   2.14
4.84   0   2.119
4.85   0   2.097
4.86   0   2.076
