#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Valeur de R (Ohm) : 
#Valeur de L (Henry) : 
#Valeur de C (Farad) : 
#Temps   Entree   Sortie-Solution   Sinus(sol exact)   
3.66   0.8   -0.1876   -0.4955
3.67   0.85   -0.1918   -0.5042
3.68   0.9   -0.1959   -0.5128
3.69   0.95   -0.1999   -0.5213
3.7   1   -0.2037   -0.5298
3.71   1.05   -0.2073   -0.5383
3.72   1.1   -0.2108   -0.5467
3.73   1.15   -0.2141   -0.555
3.74   1.2   -0.2173   -0.5633
3.75   1.25   -0.2203   -0.5716
3.76   1.3   -0.2231   -0.5797
3.77   1.35   -0.2257   -0.5879
3.78   1.4   -0.2282   -0.5959
3.79   1.45   -0.2305   -0.6039
3.8   1.5   -0.2326   -0.6119
3.81   1.55   -0.2345   -0.6197
3.82   1.6   -0.2362   -0.6276
3.83   1.65   -0.2377   -0.6353
3.84   1.7   -0.239   -0.643
3.85   1.75   -0.2401   -0.6506
3.86   1.8   -0.2411   -0.6582
3.87   1.85   -0.2418   -0.6657
3.88   1.9   -0.2423   -0.6731
3.89   1.95   -0.2425   -0.6805
3.9   2   -0.2426   -0.6878
3.91   2.05   -0.2424   -0.695
3.92   2.1   -0.2421   -0.7021
3.93   2.15   -0.2415   -0.7092
3.94   2.2   -0.2406   -0.7162
3.95   2.25   -0.2396   -0.7232
3.96   2.3   -0.2383   -0.7301
3.97   2.35   -0.2367   -0.7369
3.98   2.4   -0.235   -0.7436
3.99   2.45   -0.2329   -0.7502
4   2.5   -0.2307   -0.7568
4.01   2.45   -0.2282   -0.7633
4.02   2.4   -0.2254   -0.7697
4.03   2.35   -0.2224   -0.7761
4.04   2.3   -0.2192   -0.7823
4.05   2.25   -0.2158   -0.7885
4.06   2.2   -0.2121   -0.7946
4.07   2.15   -0.2082   -0.8007
4.08   2.1   -0.2042   -0.8066
4.09   2.05   -0.1999   -0.8125
4.1   2   -0.1954   -0.8183
4.11   1.95   -0.1908   -0.824
4.12   1.9   -0.186   -0.8296
4.13   1.85   -0.181   -0.8352
4.14   1.8   -0.1759   -0.8406
4.15   1.75   -0.1706   -0.846
4.16   1.7   -0.1651   -0.8513
4.17   1.65   -0.1596   -0.8565
4.18   1.6   -0.1538   -0.8616
4.19   1.55   -0.148   -0.8666
4.2   1.5   -0.1421   -0.8716
4.21   1.45   -0.136   -0.8764
4.22   1.4   -0.1299   -0.8812
4.23   1.35   -0.1236   -0.8859
4.24   1.3   -0.1173   -0.8905
4.25   1.25   -0.1108   -0.895
4.26   1.2   -0.1043   -0.8994
4.27   1.15   -0.09775   -0.9037
4.28   1.1   -0.0911   -0.908
4.29   1.05   -0.0844   -0.9121
4.3   1   -0.07765   -0.9162
4.31   0.95   -0.07085   -0.9201
4.32   0.9   -0.06401   -0.924
4.33   0.85   -0.05714   -0.9278
4.34   0.8   -0.05024   -0.9315
4.35   0.75   -0.04331   -0.9351
4.36   0.7   -0.03638   -0.9386
4.37   0.65   -0.02943   -0.942
4.38   0.6   -0.02248   -0.9453
4.39   0.55   -0.01552   -0.9485
4.4   0.5   -0.008582   -0.9516
4.41   0.45   -0.001651   -0.9546
4.42   0.4   0.005261   -0.9576
4.43   0.35   0.01215   -0.9604
4.44   0.3   0.01901   -0.9631
4.45   0.25   0.02583   -0.9658
4.46   0.2   0.03262   -0.9683
4.47   0.15   0.03935   -0.9708
4.48   0.1   0.04604   -0.9731
4.49   0.05   0.05267   -0.9754
4.5   2.576e-13   0.05924   -0.9775
4.51   -0.05   0.06575   -0.9796
4.52   -0.1   0.07218   -0.9816
4.53   -0.15   0.07854   -0.9834
4.54   -0.2   0.08482   -0.9852
4.55   -0.25   0.09101   -0.9868
