#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Choix des valeurs pour le circuit suivant :
#_____/\/\/\____|\______________  
#|      Rd      |/       |     |
#|                 D     /    _|_
#E                     R \    --- C 
#|                       /     |
#|_______________________|_____|
#Valeur de Rd (Ohm) : 
#Valeur de R (Ohm) : 
#Valeur de C (Farad) : 
#Temps   Ve   Vs   Vd
#Diode passante
4.1   5   1.975   4.54
4.11   5   1.979   4.55
4.12   5   1.984   4.559
4.13   5   1.988   4.567
4.14   5   1.992   4.576
4.15   5   1.996   4.585
4.16   5   2   4.593
4.17   5   2.004   4.601
4.18   5   2.008   4.609
4.19   5   2.012   4.617
4.2   5   2.016   4.624
4.21   0   2.02   -0.3681
#Diode bloquee
4.22   0   1.999   2.02
#Diode passante
4.23   0   1.953   4.599
4.24   0   1.908   4.507
4.25   0   1.864   4.417
4.26   0   1.821   4.328
4.27   0   1.779   4.242
4.28   0   1.737   4.157
4.29   0   1.696   4.074
4.3   0   1.656   3.992
4.31   0   1.617   3.913
4.32   0   1.579   3.834
4.33   0   1.541   3.758
4.34   0   1.504   3.682
4.35   0   1.468   3.609
4.36   0   1.433   3.537
4.37   0   1.398   3.466
4.38   0   1.364   3.397
4.39   0   1.331   3.329
4.4   0   1.298   3.262
4.41   0   1.266   3.197
4.42   0   1.235   3.133
4.43   0   1.204   3.07
4.44   0   1.174   3.009
4.45   0   1.145   2.949
4.46   0   1.116   2.89
4.47   0   1.088   2.832
4.48   0   1.06   2.775
4.49   0   1.033   2.72
4.5   0   1.006   2.665
4.51   0   0.9799   2.612
4.52   0   0.9543   2.56
4.53   0   0.9292   2.509
4.54   0   0.9046   2.458
4.55   0   0.8806   2.409
4.56   0   0.8569   2.361
4.57   0   0.8338   2.314
4.58   0   0.8111   2.268
4.59   0   0.7889   2.222
4.6   0   0.7671   2.178
4.61   0   0.7458   2.134
4.62   0   0.7249   2.092
4.63   0   0.7044   2.05
4.64   0   0.6843   2.009
4.65   0   0.6646   1.969
4.66   0   0.6453   1.929
4.67   0   0.6264   1.891
4.68   0   0.6079   1.853
4.69   0   0.5897   1.816
4.7   0   0.5719   1.779
4.71   0   0.5545   1.744
4.72   0   0.5374   1.709
4.73   0   0.5206   1.675
4.74   0   0.5042   1.641
4.75   0   0.4881   1.608
4.76   0   0.4724   1.576
4.77   0   0.4569   1.545
4.78   0   0.4418   1.514
4.79   0   0.427   1.484
4.8   0   0.4124   1.454
4.81   0   0.3982   1.425
4.82   0   0.3842   1.396
4.83   0   0.3705   1.368
4.84   0   0.3571   1.341
4.85   0   0.344   1.314
4.86   0   0.3311   1.288
4.87   0   0.3185   1.262
4.88   0   0.3061   1.237
4.89   0   0.294   1.212
4.9   0   0.2821   1.188
4.91   0   0.2705   1.164
4.92   0   0.259   1.141
4.93   0   0.2479   1.118
4.94   0   0.2369   1.096
4.95   0   0.2262   1.074
4.96   0   0.2156   1.052
4.97   0   0.2053   1.031
4.98   0   0.1952   1.011
4.99   0   0.1853   0.9905
5   0   0.1756   0.9707
5.01   5   0.1661   5.951
5.02   5   0.2068   0.9322
5.03   5   0.2466   1.014
5.04   5   0.2857   1.093
5.05   5   0.324   1.171
5.06   5   0.3615   1.248
5.07   5   0.3983   1.323
5.08   5   0.4343   1.397
5.09   5   0.4696   1.469
5.1   5   0.5042   1.539
5.11   5   0.5382   1.608
5.12   5   0.5714   1.676
5.13   5   0.604   1.743
5.14   5   0.6359   1.808
5.15   5   0.6672   1.872
5.16   5   0.6978   1.934
5.17   5   0.7279   1.996
5.18   5   0.7573   2.056
5.19   5   0.7862   2.115
5.2   5   0.8144   2.172
5.21   5   0.8422   2.229
5.22   5   0.8693   2.284
5.23   5   0.8959   2.339
5.24   5   0.922   2.392
5.25   5   0.9476   2.444
5.26   5   0.9726   2.495
5.27   5   0.9972   2.545
5.28   5   1.021   2.594
5.29   5   1.045   2.642
5.3   5   1.068   2.69
5.31   5   1.091   2.736
5.32   5   1.113   2.781
5.33   5   1.134   2.825
5.34   5   1.156   2.869
5.35   5   1.177   2.912
5.36   5   1.197   2.953
5.37   5   1.217   2.994
5.38   5   1.237   3.034
5.39   5   1.256   3.074
5.4   5   1.275   3.112
5.41   5   1.293   3.15
5.42   5   1.312   3.187
5.43   5   1.329   3.223
5.44   5   1.347   3.259
5.45   5   1.364   3.294
5.46   5   1.381   3.328
5.47   5   1.397   3.361
5.48   5   1.413   3.394
5.49   5   1.429   3.426
5.5   5   1.444   3.458
5.51   5   1.459   3.488
5.52   5   1.474   3.519
5.53   5   1.489   3.548
5.54   5   1.503   3.577
5.55   5   1.517   3.606
5.56   5   1.53   3.634
5.57   5   1.544   3.661
5.58   5   1.557   3.688
5.59   5   1.57   3.714
5.6   5   1.582   3.74
5.61   5   1.595   3.765
5.62   5   1.607   3.79
5.63   5   1.619   3.814
