#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Valeur de R (Ohm) : 
#Valeur de L (Henry) : 
#Valeur de C (Farad) : 
#Temps   ESM   Vs   
4.89   0   -0.8641
4.9   0   -0.8859
4.91   0   -0.9074
4.92   0   -0.9286
4.93   0   -0.9495
4.94   0   -0.97
4.95   0   -0.9903
4.96   0   -1.01
4.97   0   -1.03
4.98   0   -1.049
4.99   0   -1.068
5   0   -1.087
5.01   5   -1.106
5.02   5   -1.124
5.03   5   -1.092
5.04   5   -1.06
5.05   5   -1.028
5.06   5   -0.9969
5.07   5   -0.9656
5.08   5   -0.9346
5.09   5   -0.9038
5.1   5   -0.8731
5.11   5   -0.8428
5.12   5   -0.8126
5.13   5   -0.7826
5.14   5   -0.7529
5.15   5   -0.7234
5.16   5   -0.6941
5.17   5   -0.665
5.18   5   -0.6361
5.19   5   -0.6075
5.2   5   -0.5791
5.21   5   -0.5509
5.22   5   -0.5229
5.23   5   -0.4952
5.24   5   -0.4677
5.25   5   -0.4404
5.26   5   -0.4133
5.27   5   -0.3865
5.28   5   -0.3599
5.29   5   -0.3335
5.3   5   -0.3073
5.31   5   -0.2814
5.32   5   -0.2557
5.33   5   -0.2302
5.34   5   -0.205
5.35   5   -0.18
5.36   5   -0.1552
5.37   5   -0.1307
5.38   5   -0.1063
5.39   5   -0.08224
5.4   5   -0.05838
5.41   5   -0.03475
5.42   5   -0.01135
5.43   5   0.01182
5.44   5   0.03476
5.45   5   0.05747
5.46   5   0.07995
5.47   5   0.1022
5.48   5   0.1242
5.49   5   0.146
5.5   5   0.1676
5.51   5   0.1889
5.52   5   0.21
5.53   5   0.2308
5.54   5   0.2515
5.55   5   0.2719
5.56   5   0.2921
5.57   5   0.312
5.58   5   0.3317
