#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Choix des valeurs pour le circuit suivant :
#_____/\/\/\____  
#|      R      _|_
#E           C ---
#|______________|
#Valeur de R (Ohm) : 
#Valeur de C (Farad) : 
#Temps   Ve   Vs   
3.86   5   4.718
3.87   5   4.721
3.88   5   4.723
3.89   5   4.726
3.9   5   4.729
3.91   5   4.732
3.92   5   4.734
3.93   5   4.737
3.94   5   4.74
3.95   5   4.742
3.96   5   4.745
3.97   5   4.747
3.98   5   4.75
3.99   5   4.752
4   5   4.755
4.01   5   4.757
4.02   5   4.76
4.03   5   4.762
4.04   5   4.764
4.05   5   4.767
4.06   5   4.769
4.07   5   4.771
4.08   5   4.774
4.09   5   4.776
4.1   5   4.778
4.11   5   4.78
4.12   5   4.783
4.13   5   4.785
4.14   5   4.787
4.15   5   4.789
4.16   5   4.791
4.17   5   4.793
4.18   5   4.795
4.19   5   4.797
4.2   5   4.799
4.21   5   4.801
4.22   5   4.803
4.23   5   4.805
4.24   5   4.807
4.25   5   4.809
4.26   5   4.811
4.27   5   4.813
4.28   5   4.815
4.29   5   4.817
4.3   5   4.819
4.31   5   4.82
4.32   5   4.822
4.33   5   4.824
4.34   5   4.826
4.35   5   4.828
4.36   5   4.829
4.37   5   4.831
4.38   5   4.833
4.39   5   4.834
4.4   5   4.836
4.41   5   4.838
4.42   5   4.839
4.43   5   4.841
4.44   5   4.842
4.45   5   4.844
4.46   5   4.846
4.47   5   4.847
4.48   5   4.849
4.49   5   4.85
4.5   5   4.852
4.51   5   4.853
4.52   5   4.855
4.53   5   4.856
4.54   5   4.857
4.55   5   4.859
4.56   5   4.86
4.57   5   4.862
4.58   5   4.863
4.59   5   4.864
4.6   5   4.866
4.61   5   4.867
4.62   5   4.869
4.63   5   4.87
4.64   5   4.871
4.65   5   4.872
4.66   5   4.874
4.67   5   4.875
4.68   5   4.876
4.69   5   4.877
4.7   5   4.879
4.71   5   4.88
4.72   5   4.881
4.73   5   4.882
4.74   5   4.883
4.75   5   4.885
4.76   5   4.886
4.77   5   4.887
4.78   5   4.888
4.79   5   4.889
4.8   5   4.89
4.81   5   4.891
4.82   5   4.892
4.83   5   4.894
4.84   5   4.895
4.85   5   4.896
4.86   5   4.897
4.87   5   4.898
4.88   5   4.899
4.89   5   4.9
4.9   5   4.901
4.91   5   4.902
4.92   5   4.903
4.93   5   4.904
4.94   5   4.905
4.95   5   4.906
4.96   5   4.907
4.97   5   4.907
4.98   5   4.908
4.99   5   4.909
5   5   4.91
5.01   5   4.911
5.02   5   4.912
5.03   5   4.913
5.04   5   4.914
5.05   5   4.915
5.06   5   4.915
5.07   5   4.916
5.08   5   4.917
5.09   5   4.918
5.1   5   4.919
5.11   5   4.92
5.12   5   4.92
5.13   5   4.921
5.14   5   4.922
5.15   5   4.923
5.16   5   4.924
5.17   5   4.924
5.18   5   4.925
5.19   5   4.926
5.2   5   4.927
5.21   5   4.927
5.22   5   4.928
5.23   5   4.929
5.24   5   4.929
5.25   5   4.93
5.26   5   4.931
5.27   5   4.932
5.28   5   4.932
5.29   5   4.933
5.3   5   4.934
5.31   5   4.934
5.32   5   4.935
5.33   5   4.936
5.34   5   4.936
5.35   5   4.937
5.36   5   4.937
5.37   5   4.938
5.38   5   4.939
5.39   5   4.939
5.4   5   4.94
5.41   5   4.941
5.42   5   4.941
5.43   5   4.942
5.44   5   4.942
5.45   5   4.943
5.46   5   4.943
5.47   5   4.944
5.48   5   4.945
5.49   5   4.945
5.5   5   4.946
5.51   5   4.946
5.52   5   4.947
5.53   5   4.947
5.54   5   4.948
5.55   5   4.948
5.56   5   4.949
5.57   5   4.949
5.58   5   4.95
5.59   5   4.95
5.6   5   4.951
5.61   5   4.951
5.62   5   4.952
5.63   5   4.952
5.64   5   4.953
5.65   5   4.953
5.66   5   4.954
5.67   5   4.954
5.68   5   4.955
5.69   5   4.955
5.7   5   4.956
5.71   5   4.956
5.72   5   4.956
5.73   5   4.957
5.74   5   4.957
5.75   5   4.958
5.76   5   4.958
5.77   5   4.959
5.78   5   4.959
5.79   5   4.959
5.8   5   4.96
5.81   5   4.96
5.82   5   4.961
5.83   5   4.961
5.84   5   4.961
5.85   5   4.962
5.86   5   4.962
5.87   5   4.963
5.88   5   4.963
5.89   5   4.963
5.9   5   4.964
5.91   5   4.964
5.92   5   4.964
5.93   5   4.965
5.94   5   4.965
5.95   5   4.965
5.96   5   4.966
5.97   5   4.966
5.98   5   4.966
5.99   5   4.967
6   5   4.967
6.01   5   4.967
6.02   5   4.968
6.03   5   4.968
6.04   5   4.968
6.05   5   4.969
6.06   5   4.969
6.07   5   4.969
6.08   5   4.97
6.09   5   4.97
6.1   5   4.97
6.11   5   4.971
6.12   5   4.971
6.13   5   4.971
6.14   5   4.971
6.15   5   4.972
6.16   5   4.972
6.17   5   4.972
6.18   5   4.973
6.19   5   4.973
6.2   5   4.973
6.21   5   4.973
6.22   5   4.974
6.23   5   4.974
6.24   5   4.974
6.25   5   4.974
6.26   5   4.975
6.27   5   4.975
6.28   5   4.975
6.29   5   4.975
6.3   5   4.976
6.31   5   4.976
6.32   5   4.976
6.33   5   4.976
6.34   5   4.977
6.35   5   4.977
6.36   5   4.977
6.37   5   4.977
6.38   5   4.978
6.39   5   4.978
6.4   5   4.978
6.41   5   4.978
6.42   5   4.978
6.43   5   4.979
6.44   5   4.979
6.45   5   4.979
6.46   5   4.979
6.47   5   4.98
6.48   5   4.98
6.49   5   4.98
6.5   5   4.98
6.51   5   4.98
6.52   5   4.981
6.53   5   4.981
6.54   5   4.981
6.55   5   4.981
6.56   5   4.981
6.57   5   4.981
6.58   5   4.982
6.59   5   4.982
6.6   5   4.982
6.61   5   4.982
6.62   5   4.982
6.63   5   4.983
6.64   5   4.983
6.65   5   4.983
6.66   5   4.983
6.67   5   4.983
6.68   5   4.983
6.69   5   4.984
6.7   5   4.984
6.71   5   4.984
6.72   5   4.984
6.73   5   4.984
6.74   5   4.984
6.75   5   4.985
6.76   5   4.985
6.77   5   4.985
6.78   5   4.985
6.79   5   4.985
6.8   5   4.985
6.81   5   4.985
6.82   5   4.986
6.83   5   4.986
6.84   5   4.986
6.85   5   4.986
6.86   5   4.986
6.87   5   4.986
6.88   5   4.986
6.89   5   4.987
6.9   5   4.987
6.91   5   4.987
6.92   5   4.987
6.93   5   4.987
6.94   5   4.987
6.95   5   4.987
6.96   5   4.987
6.97   5   4.988
6.98   5   4.988
6.99   5   4.988
7   5   4.988
7.01   5   4.988
7.02   5   4.988
7.03   5   4.988
7.04   5   4.988
7.05   5   4.989
7.06   5   4.989
7.07   5   4.989
7.08   5   4.989
7.09   5   4.989
7.1   5   4.989
7.11   5   4.989
7.12   5   4.989
7.13   5   4.989
7.14   5   4.99
7.15   5   4.99
7.16   5   4.99
7.17   5   4.99
7.18   5   4.99
7.19   5   4.99
7.2   5   4.99
7.21   5   4.99
7.22   5   4.99
7.23   5   4.99
7.24   5   4.991
7.25   5   4.991
7.26   5   4.991
7.27   5   4.991
7.28   5   4.991
7.29   5   4.991
7.3   5   4.991
7.31   5   4.991
7.32   5   4.991
7.33   5   4.991
7.34   5   4.991
7.35   5   4.992
7.36   5   4.992
7.37   5   4.992
7.38   5   4.992
7.39   5   4.992
7.4   5   4.992
7.41   5   4.992
7.42   5   4.992
7.43   5   4.992
7.44   5   4.992
7.45   5   4.992
7.46   5   4.992
7.47   5   4.993
7.48   5   4.993
7.49   5   4.993
7.5   5   4.993
7.51   5   4.993
7.52   5   4.993
7.53   5   4.993
7.54   5   4.993
7.55   5   4.993
7.56   5   4.993
7.57   5   4.993
7.58   5   4.993
7.59   5   4.993
7.6   5   4.993
7.61   5   4.993
7.62   5   4.994
7.63   5   4.994
7.64   5   4.994
7.65   5   4.994
7.66   5   4.994
7.67   5   4.994
7.68   5   4.994
7.69   5   4.994
7.7   5   4.994
7.71   5   4.994
7.72   5   4.994
7.73   5   4.994
7.74   5   4.994
7.75   5   4.994
7.76   5   4.994
7.77   5   4.994
7.78   5   4.995
7.79   5   4.995
7.8   5   4.995
7.81   5   4.995
7.82   5   4.995
7.83   5   4.995
7.84   5   4.995
7.85   5   4.995
7.86   5   4.995
7.87   5   4.995
7.88   5   4.995
7.89   5   4.995
7.9   5   4.995
7.91   5   4.995
7.92   5   4.995
7.93   5   4.995
7.94   5   4.995
7.95   5   4.995
7.96   5   4.995
7.97   5   4.995
7.98   5   4.996
7.99   5   4.996
