#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Valeur de R (Ohm) : 
#Valeur de L (Henry) : 
#Valeur de C (Farad) : 
#Temps   ESM   Vs   
3.43   -0.35   -0.7113
3.44   -0.3   -0.7037
3.45   -0.25   -0.6955
3.46   -0.2   -0.6869
3.47   -0.15   -0.6778
3.48   -0.1   -0.6682
3.49   -0.05   -0.6581
3.5   -1.532e-13   -0.6476
3.51   0.05   -0.6366
3.52   0.1   -0.6251
3.53   0.15   -0.6132
3.54   0.2   -0.6009
3.55   0.25   -0.5881
3.56   0.3   -0.5749
3.57   0.35   -0.5613
3.58   0.4   -0.5472
3.59   0.45   -0.5327
3.6   0.5   -0.5178
3.61   0.55   -0.5026
3.62   0.6   -0.4869
3.63   0.65   -0.4708
3.64   0.7   -0.4543
3.65   0.75   -0.4375
3.66   0.8   -0.4202
3.67   0.85   -0.4026
3.68   0.9   -0.3847
3.69   0.95   -0.3663
3.7   1   -0.3477
3.71   1.05   -0.3286
3.72   1.1   -0.3093
3.73   1.15   -0.2895
3.74   1.2   -0.2695
3.75   1.25   -0.2491
3.76   1.3   -0.2284
3.77   1.35   -0.2074
3.78   1.4   -0.1861
3.79   1.45   -0.1644
3.8   1.5   -0.1425
3.81   1.55   -0.1202
3.82   1.6   -0.09771
3.83   1.65   -0.0749
3.84   1.7   -0.0518
3.85   1.75   -0.02842
3.86   1.8   -0.004779
3.87   1.85   0.01913
3.88   1.9   0.04331
3.89   1.95   0.06774
3.9   2   0.09242
3.91   2.05   0.1173
3.92   2.1   0.1425
3.93   2.15   0.1679
3.94   2.2   0.1936
3.95   2.25   0.2194
3.96   2.3   0.2455
3.97   2.35   0.2718
3.98   2.4   0.2983
3.99   2.45   0.3251
4   2.5   0.352
4.01   2.45   0.3791
4.02   2.4   0.4064
4.03   2.35   0.4329
4.04   2.3   0.4586
4.05   2.25   0.4835
4.06   2.2   0.5076
4.07   2.15   0.531
4.08   2.1   0.5535
4.09   2.05   0.5752
4.1   2   0.5962
4.11   1.95   0.6164
4.12   1.9   0.6359
4.13   1.85   0.6546
4.14   1.8   0.6725
4.15   1.75   0.6897
4.16   1.7   0.7062
4.17   1.65   0.7219
4.18   1.6   0.7369
4.19   1.55   0.7512
4.2   1.5   0.7648
4.21   1.45   0.7776
4.22   1.4   0.7898
4.23   1.35   0.8012
4.24   1.3   0.812
4.25   1.25   0.822
4.26   1.2   0.8314
4.27   1.15   0.8401
4.28   1.1   0.8482
4.29   1.05   0.8555
4.3   1   0.8622
4.31   0.95   0.8683
4.32   0.9   0.8737
4.33   0.85   0.8785
4.34   0.8   0.8826
4.35   0.75   0.8861
4.36   0.7   0.889
4.37   0.65   0.8913
4.38   0.6   0.893
4.39   0.55   0.894
4.4   0.5   0.8945
4.41   0.45   0.8943
4.42   0.4   0.8936
4.43   0.35   0.8923
4.44   0.3   0.8904
4.45   0.25   0.8879
4.46   0.2   0.8849
4.47   0.15   0.8813
4.48   0.1   0.8772
4.49   0.05   0.8725
4.5   2.576e-13   0.8673
4.51   -0.05   0.8615
4.52   -0.1   0.8552
4.53   -0.15   0.8484
4.54   -0.2   0.8411
4.55   -0.25   0.8333
